cultivar,condition,timepoints,biological_replicate,technical_replicate,location_of_left_pair,location_of_right_pair
H95,Control,24hpi,3,2,/XYZ/ABC/Control_24hpi_br_3_tr_2_1.fastq.gz,/XYZ/ABC/Control_24hpi_br_3_tr_2_2.fastq.gz
H95,Inoculated,24hpi,3,1,/XYZ/ABC/Inoculated_24hpi_br_3_tr_1_1.fastq.gz,/XYZ/ABC/Inoculated_24hpi_br_3_tr_1_2.fastq.gz
H95,Inoculated,24hpi,3,2,/XYZ/ABC/Inoculated_24hpi_br_3_tr_2_1.fastq.gz,/XYZ/ABC/Inoculated_24hpi_br_3_tr_2_2.fastq.gz
Rp1-I,Control,24hpi,3,1,/XYZ/ABC/Control_24hpi_br_3_tr_1_1.fastq.gz,/XYZ/ABC/Control_24hpi_br_3_tr_1_2.fastq.gz
Rp1-I,Control,24hpi,3,2,/XYZ/ABC/Control_24hpi_br_3_tr_2_1.fastq.gz,/XYZ/ABC/Control_24hpi_br_3_tr_2_2.fastq.gz
Rp1-I,Inoculated,24hpi,3,1,/XYZ/ABC/Inoculated_24hpi_br_3_tr_1_1.fastq.gz,/XYZ/ABC/Inoculated_24hpi_br_3_tr_1_2.fastq.gz
Rp1-I,Inoculated,24hpi,3,2,/XYZ/ABC/Inoculated_24hpi_br_3_tr_2_1.fastq.gz,/XYZ/ABC/Inoculated_24hpi_br_3_tr_2_2.fastq.gz
H95,Control,40hpi,3,1,/XYZ/ABC/Control_40hpi_br_3_tr_1_1.fastq.gz,/XYZ/ABC/Control_40hpi_br_3_tr_1_2.fastq.gz
H95,Control,40hpi,3,2,/XYZ/ABC/Control_40hpi_br_3_tr_2_1.fastq.gz,/XYZ/ABC/Control_40hpi_br_3_tr_2_2.fastq.gz
H95,Inoculated,40hpi,3,1,/XYZ/ABC/Inoculated_40hpi_br_3_tr_1_1.fastq.gz,/XYZ/ABC/Inoculated_40hpi_br_3_tr_1_2.fastq.gz
H95,Inoculated,40hpi,3,2,/XYZ/ABC/Inoculated_40hpi_br_3_tr_2_1.fastq.gz,/XYZ/ABC/Inoculated_40hpi_br_3_tr_2_2.fastq.gz
Rp1-I,Control,40hpi,3,1,/XYZ/ABC/Control_40hpi_br_3_tr_1_1.fastq.gz,/XYZ/ABC/Control_40hpi_br_3_tr_1_2.fastq.gz
Rp1-I,Control,40hpi,3,2,/XYZ/ABC/Control_40hpi_br_3_tr_2_1.fastq.gz,/XYZ/ABC/Control_40hpi_br_3_tr_2_2.fastq.gz
Rp1-I,Inoculated,40hpi,3,1,/XYZ/ABC/Inoculated_40hpi_br_3_tr_1_1.fastq.gz,/XYZ/ABC/Inoculated_40hpi_br_3_tr_1_2.fastq.gz
Rp1-I,Inoculated,40hpi,3,2,/XYZ/ABC/Inoculated_40hpi_br_3_tr_2_1.fastq.gz,/XYZ/ABC/Inoculated_40hpi_br_3_tr_2_2.fastq.gz
H95,Control,3dpi,3,1,/XYZ/ABC/Control_3dpi_br_3_tr_1_1.fastq.gz,/XYZ/ABC/Control_3dpi_br_3_tr_1_2.fastq.gz
H95,Control,3dpi,3,2,/XYZ/ABC/Control_3dpi_br_3_tr_2_1.fastq.gz,/XYZ/ABC/Control_3dpi_br_3_tr_2_2.fastq.gz
H95,Inoculated,3dpi,3,1,/XYZ/ABC/Inoculated_3dpi_br_3_tr_1_1.fastq.gz,/XYZ/ABC/Inoculated_3dpi_br_3_tr_1_2.fastq.gz
